Model,Mean_MAE,Std_MAE,Mean_RMSE,Std_RMSE,Mean_R2,Std_R2
Linear Regression,8092.583667638352,2568.397633243217,11300.165313160547,3585.078195162161,0.9747877445433406,0.005884892743522595
Ridge Regression,8091.444151658128,2575.168785312238,11255.5411422719,3594.2687196077736,0.9750002870365939,0.005983798122559467
Random Forest Regressor,8415.708288426056,6364.101128131633,13689.053694327056,9708.991181380627,0.9399789065661842,0.07895390387551865
XGBoost Regressor,10365.770471630054,10204.25015891167,16229.224331103289,14816.95025141426,0.900035385347544,0.15773505733654639
