Split,Configuration,Threshold,Precision,Recall,F1,PR-AUC,ROC-AUC
Test,Baseline XGBoost Class-Weighted,0.5,0.353,0.411,0.38,0.344,0.803
Test,Tuned XGBoost,0.5,0.3447368421052632,0.4833948339483395,0.402457757296467,0.3750182661672547,0.8260076834514475
Test,Tuned XGBoost,0.5000000000000001,0.3447368421052632,0.4833948339483395,0.402457757296467,0.3750182661672547,0.8260076834514475
Validation,Baseline XGBoost Class-Weighted,0.5,0.377,0.456,0.413,0.391,0.81
Validation,Tuned XGBoost,0.5,0.39438502673796794,0.544280442804428,0.4573643410852713,0.4227839154817324,0.8334366983786816
Validation,Tuned XGBoost,0.5000000000000001,0.39438502673796794,0.544280442804428,0.4573643410852713,0.4227839154817324,0.8334366983786816
