Feature_Set,Feature_Count,CV_F1_Mean,CV_F1_Std,CV_PR_AUC_Mean,CV_ROC_AUC_Mean,Test_Precision,Test_Recall,Test_F1,Test_PR_AUC,Test_ROC_AUC
Full 42 Features,42,0.4093342831088724,0.011220604244063794,0.4147419822820401,0.8235955344958661,0.34918648310387984,0.514760147601476,0.4161073825503356,0.3854728928233225,0.8347450231468259
18-Feature Candidate,18,0.40292529177972086,0.0145547084964091,0.4030114498180234,0.8208681859804443,0.31852654387865653,0.5424354243542435,0.4013651877133106,0.4049080589792913,0.8346990087547934
Stability-Selected (14 Features),14,0.36951415088039596,0.005972145143276381,0.3465713687822502,0.7941303432193482,0.27810077519379844,0.5295202952029521,0.3646759847522236,0.3309729416719198,0.8013100138741325
