Experiment,Condition,Model,F1,PR_AUC,Flip_Rate,Prob_Shift
Baseline (Unperturbed),Clean,42-Feature,0.4573643410852713,0.4227839154817324,0.0,0.0
Baseline (Unperturbed),Clean,18-Feature,0.4206128133704735,0.4126424814980038,0.0,0.0
Noise (20% Additive),Noise 20%,42-Feature,0.4142292490118577,0.37845605278032773,0.051770259638080254,0.05496607720851898
Noise (20% Additive),Noise 20%,18-Feature,0.4079822616407982,0.37759954498092857,0.05963808025177026,0.05592990294098854
Data Loss (20% Isolated),Loss 20%,42-Feature,0.3696529459241324,0.34275096059078963,0.07883556254917388,0.09807401895523071
Data Loss (20% Isolated),Loss 20%,18-Feature,0.34446919079435784,0.317193851046084,0.10653029110936271,0.11667154729366302
