Model_Type,Model,Train_Time(s),MAE,RMSE,R2,MAPE,sMAPE,nRMSE,nMAE
Baseline,Naive Persistence (y_t),0.0,14066.68051110588,19840.136025378484,0.9099765316628365,15.124194946483849,7.519400851797528,0.04747854896670694,0.0677429602186022
Baseline,Daily Seasonal Naive (y_t-23),0.0,16290.565665397358,22791.085890256112,0.8812054584516219,16.185984693513987,8.54759804401624,0.05454033611769584,0.07845284755975314
Baseline,Weekly Seasonal Naive (y_t-167),0.0,20043.490739201,28142.70713591295,0.8188667444889689,17.107700516065478,9.779628837914778,0.06734706340213442,0.09652635493609203
ML Model,Linear Regression,0.04695868492126465,6886.4872779497255,10153.067798224343,0.9764244940014968,9.883311718488857,3.5587796522291373,0.024296855928995272,0.03316425885607767
ML Model,Ridge Regression,0.008006095886230469,6749.662632290913,10075.21101146017,0.9767846758786336,9.942079182075728,3.4854038779306755,0.024110540308071863,0.03250533250024899
ML Model,Lasso Regression,3.902315855026245,6751.457355597294,10074.234230472912,0.9767891770623741,9.943152079043324,3.486349054894554,0.02410820281684328,0.032513975610430644
ML Model,Decision Tree Regressor,0.33264756202697754,4941.084813798458,7298.77527064491,0.987816658039892,8.742924437812569,2.4362251840466973,0.017466375161996568,0.023795501128615126
ML Model,Random Forest Regressor,2.8252220153808594,4122.082071296067,6088.808478672769,0.9915212646902164,8.522723374886423,2.021513717874754,0.01457085733352731,0.01985131044621057
ML Model,XGBoost Regressor,0.44295740127563477,3935.630269707868,5802.398785354709,0.9923001618342614,8.30008997477139,1.9378728038627353,0.013885463008037465,0.018953387374189147
