Ablated_Group,Removed_Count,Remaining_Count,Val_Precision,Val_Recall,Val_F1,Val_PR_AUC,Val_ROC_AUC,Test_Precision,Test_Recall,Test_F1,Test_PR_AUC,Test_ROC_AUC,Val_F1_Delta,Test_F1_Delta
Central tendency,2,40,0.3802083333333333,0.5387453874538746,0.44580152671755724,0.42120572502960646,0.8329226768097717,0.34776902887139105,0.488929889298893,0.40644171779141103,0.3775826443059704,0.8267251906265191,-0.011562814367714058,0.003983960494944039
Variability,3,39,0.3763020833333333,0.533210332103321,0.44122137404580153,0.4198170336972725,0.832963938189184,0.33806451612903227,0.4833948339483395,0.39787395596051633,0.3720164252026939,0.8267501018663438,-0.01614296703946977,-0.004583801335950655
Extremes,3,39,0.38786279683377306,0.5424354243542435,0.4523076923076923,0.4271695422032944,0.8368674233792054,0.35655737704918034,0.48154981549815495,0.4097331240188383,0.3785748949560934,0.8245114223588056,-0.005056648777578998,0.007275366722371335
Zero behaviour,2,40,0.37467362924281983,0.5295202952029521,0.43883792048929665,0.42032902292430624,0.8328887155205629,0.3761467889908257,0.5295202952029521,0.43984674329501916,0.3890217345761653,0.8328286030538324,-0.018526420595974646,0.03738898599855217
Volatility,2,40,0.35561160151324084,0.5202952029520295,0.42247191011235957,0.40385206201942503,0.8243555448628631,0.3394736842105263,0.47601476014760147,0.39631336405529954,0.3644607134479904,0.8210822394601656,-0.034892430972911725,-0.006144393241167445
Temporal/periodic,24,18,0.2858499525166192,0.5553505535055351,0.3774294670846395,0.36682156590145776,0.8083608885288922,0.31020812685827553,0.577490774907749,0.40361057382333976,0.3677952257804712,0.8158223184399026,-0.07993487400063182,0.0011528165268727686
Peak behaviour,1,41,0.36507936507936506,0.5092250922509225,0.4252696456086287,0.4113486945731942,0.8286237171678442,0.3424124513618677,0.4870848708487085,0.4021325209444021,0.37466180361506574,0.8260054620670045,-0.03209469547664262,-0.00032523635206488377
Missingness,5,37,0.3182926829268293,0.48154981549815495,0.3832599118942731,0.3501851282803298,0.7917033522649006,0.2890625,0.4095940959409594,0.33893129770992364,0.290323645948907,0.7691045408906101,-0.07410442919099819,-0.06352645958654335
